Chars,Info
Establecimiento 1,
id de establecimiento,6273616
Nombre de la unidad económica:,HOTEL CATZIN
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,NINGUNO
Número exterior o km:,1
Número o letra interior:,
Nombre del asentamiento humano:,58 UNIDAD MORELOS
Código postal:,77515
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.16125733
Longitud:,-86.85146011
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 2,
id de establecimiento,8161690
Nombre de la unidad económica:,OFICINA ADMINISTRATIVA TURQUESA
Razón social:,HOTELERA INTERCARIBE SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,6 a 10 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,18 PONIENTE
Número exterior o km:,62
Número o letra interior:,
Nombre del asentamiento humano:,92
Código postal:,77516
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,ALAGUNA@RADIOTURQUESA.FM
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.163447
Longitud:,-86.850692
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 3,
id de establecimiento,8869842
Nombre de la unidad económica:,LAVANDERÍA Y TINTORERÍA OASIS
Razón social:,OASIS HOTELES & RESORTS SA DE CV
Nombre de la clase de actividad:,Lavanderías y tintorerías
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,KABAH
Número exterior o km:,50
Número o letra interior:,
Nombre del asentamiento humano:,93
Código postal:,77517
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,CCEFERINO@SERCC.COM.MX
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.16319822
Longitud:,-86.85297892
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 4,
id de establecimiento,6384394
Nombre de la unidad económica:,HOTEL AVENIDA CANCUN
Razón social:,PALENMEX SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,LÓPEZ PORTILLO
Número exterior o km:,2
Número o letra interior:,0
Nombre del asentamiento humano:,60
Código postal:,77514
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,RESERVAS@HOTELAVENIDACANCUN.COM
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.16371659
Longitud:,-86.84765824
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 5,
id de establecimiento,8740394
Nombre de la unidad económica:,HOTEL BOUTIQUE CASA MAYORCA
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,PUERTOS
Número exterior o km:,80
Número o letra interior:,
Nombre del asentamiento humano:,SUPMZ 34
Código postal:,77508
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,99832554
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.15567356
Longitud:,-86.84437285
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 6,
id de establecimiento,6273492
Nombre de la unidad económica:,HOTEL CHULA VISTA
Razón social:,PROMOTORA DE BIENES Y SERVICIOS CHULA VISTA SA DE CV
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,CHICHEN ITZA
Número exterior o km:,61
Número o letra interior:,
Nombre del asentamiento humano:,SUPMZ 61
Código postal:,77514
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.16490022
Longitud:,-86.83932505
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 7,
id de establecimiento,6385043
Nombre de la unidad económica:,HOTEL CAGUANGO 99
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,6 a 10 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,95 NORTE
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,219
Código postal:,77517
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.17051407
Longitud:,-86.86100884
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 8,
id de establecimiento,3659919
Nombre de la unidad económica:,HOTEL DE ANGEL
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,LOPEZ PORTILLO
Número exterior o km:,38
Número o letra interior:,
Nombre del asentamiento humano:,62
Código postal:,77513
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,HOTEL_D_ANGEL@HOTMAIL.COM
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.16805104
Longitud:,-86.83887072
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 9,
id de establecimiento,6859687
Nombre de la unidad económica:,THE RITZ CARLTON HOTEL COMPANY OF MÉXICO
Razón social:,THE RITZ CARLTON HOTEL COMPANY OF MEXICO SA DE CV
Nombre de la clase de actividad:,Otros servicios de apoyo a los negocios
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,CLL.COLORADO
Número exterior o km:,26
Número o letra interior:,0
Nombre del asentamiento humano:,30
Código postal:,77508
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,LUCIHU611@HOTMAIL.COM
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.1570311
Longitud:,-86.83712271
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 10,
id de establecimiento,6878537
Nombre de la unidad económica:,HOSTAL LA RIVIERA
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,ERIZO
Número exterior o km:,0
Número o letra interior:,0
Nombre del asentamiento humano:,SM 27
Código postal:,77509
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,FRAYLUCAS3@HOTMAIL.COM
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.16223403
Longitud:,-86.83576438
Centro comercial:,SUPERMANZANA 27
Tipo de centro comercial:,
Número de local:,
Establecimiento 11,
id de establecimiento,6384012
Nombre de la unidad económica:,HOTEL BALAM BALAM
Razón social:,OPERADORA MAKECH SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,LÓPEZ PORTILLO
Número exterior o km:,1
Número o letra interior:,0
Nombre del asentamiento humano:,94
Código postal:,77517
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,RESERVACIONES.HOTELBALAMCANCUN@GAMAIL.COM
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.15528893
Longitud:,-86.8652635
Centro comercial:,HOTEL BALAM BALAM
Tipo de centro comercial:,
Número de local:,
Establecimiento 12,
id de establecimiento,6384055
Nombre de la unidad económica:,HOTEL MARÍA DOLORES
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,41 NORTE
Número exterior o km:,0
Número o letra interior:,0
Nombre del asentamiento humano:,70
Código postal:,77510
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.17035804
Longitud:,-86.83799581
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 13,
id de establecimiento,6384395
Nombre de la unidad económica:,HOTEL TANKAH
Razón social:,OPERADORA CANCUN SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,TANKAH
Número exterior o km:,69
Número o letra interior:,0
Nombre del asentamiento humano:,24
Código postal:,77509
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,IVANCHIALARCON90@GMAIL.COM
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.16359965
Longitud:,-86.83453229
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 14,
id de establecimiento,6273459
Nombre de la unidad económica:,HOTEL POSADA IRMA
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,LOPEZ PORTILLO
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,SUPERMANZANA 69
Código postal:,77510
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.16990497
Longitud:,-86.8357977
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 15,
id de establecimiento,6385736
Nombre de la unidad económica:,OFICINAS ADMINISTRATIVAS ADMINISTRADORA DE SERVICIOS TURISTICOS TULUM RESORTS
Razón social:,ADMINISTRADORA DE SERVICIOS TURISTICOS TULUM RESORTS SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,CALLE
